490; 16.510073162153127; 284; 304; 254; 387; 107; 342; 345; 660; 710; 422; 678; 211; 1411; 241
495; 16.67820018009766; 304; 299; 256; 385; 104; 345; 345; 660; 710; 420; 678; 208; 1406; 237
500; 16.846327198042193; 323; 276; 256; 385; 104; 345; 340; 652; 716; 412; 672; 204; 1401; 234
505; 17.014454215986728; 368; 219; 268; 374; 116; 332; 336; 627; 726; 391; 659; 192; 1396; 205
509; 17.148955830342352; -1; -1; 283; 363; 129; 321; 336; 594; 736; 364; 646; 177; 1372; 144
512; 17.249832041109073; -1; -1; 286; 356; 129; 321; 336; 562; 745; 343; 633; 163; 1344; 61
516; 17.384333655464697; -1; -1; 308; 328; 140; 302; 331; 514; 758; 307; 620; 141; 1320; 0
520; 17.518835269820325; 497; 4; 318; 316; 160; 276; 350; 456; 764; 273; 611; 115; -1; -1
524; 17.653336884175953; -1; -1; 337; 286; 176; 252; 364; 391; 768; 237; 601; 86; -1; -1
530; 17.85508930570939; -1; -1; 353; 257; 188; 225; -1; -1; 780; 194; 582; 45; -1; -1
535; 18.023216323653923; -1; -1; 361; 235; 198; 204; -1; -1; -1; -1; 569; 7; -1; -1
540; 18.191343341598458; -1; -1; 369; 211; 203; 180; -1; -1; -1; -1; -1; -1; -1; -1
544; 18.325844955954082; -1; -1; 380; 187; 211; 152; -1; -1; -1; -1; -1; -1; -1; -1
549; 18.493971973898617; -1; -1; 385; 164; 214; 147; -1; -1; -1; -1; -1; -1; -1; -1
555; 18.695724395432055; -1; -1; 390; 148; 224; 110; -1; -1; -1; -1; -1; -1; -1; -1
559; 18.830226009787683; -1; -1; 392; 140; 225; 96; -1; -1; -1; -1; -1; -1; -1; -1
564; 18.998353027732215; -1; -1; 393; 129; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1
570; 19.200105449265653; -1; -1; 393; 136; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1
574; 19.33460706362128; -1; -1; 393; 134; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1
579; 19.502734081565812; -1; -1; 392; 144; 228; 91; -1; -1; -1; -1; -1; -1; -1; -1
584; 19.670861099510347; -1; -1; 388; 158; 227; 104; -1; -1; -1; -1; -1; -1; -1; -1
589; 19.83898811745488; -1; -1; 384; 174; 222; 128; -1; -1; -1; -1; -1; -1; -1; -1
594; 20.007115135399413; -1; -1; 377; 193; 220; 140; -1; -1; -1; -1; -1; -1; -1; -1
599; 20.175242153343945; -1; -1; 372; 208; 216; 160; -1; -1; -1; -1; -1; -1; -1; -1
604; 20.343369171288476; -1; -1; 361; 236; 214; 177; -1; -1; -1; -1; 598; 14; -1; -1
609; 20.51149618923301; -1; -1; 355; 251; 212; 196; -1; -1; 755; 175; 620; 48; -1; -1
614; 20.679623207177542; -1; -1; 350; 262; 208; 212; 470; 351; 745; 204; 636; 81; -1; -1
